sentiment_class,Avg_PnL,Win_Rate,Volatility,Trade_Count,Avg_Trade_Size,Return_Risk_Ratio
Extreme Greed,25.418772159436944,0.49008905486929044,306.1669373872389,6962,5660.265764148233,0.08302259014756831
Fear,50.047621894017375,0.41514592406122314,909.121795680177,133871,5259.977836723413,0.055050513728551936
Greed,87.8948589207749,0.44647138251260715,1148.343967656218,36289,3182.883844966794,0.07654053262470584
Neutral,22.229712656210616,0.3171824674415348,633.7048150995175,7141,3058.8481095084726,0.03507897072348999
